input,output,time
-0.006753,-3.105720,32.100000
-0.006377,-3.152769,32.200000
-0.005973,-3.201365,32.300000
-0.005545,-3.251518,32.400000
-0.005100,-3.303237,32.500000
-0.004639,-3.356530,32.600000
-0.004166,-3.411404,32.700000
-0.003684,-3.467866,32.800000
-0.003194,-3.525922,32.900000
-0.002696,-3.585578,33.000000
-0.002191,-3.646840,33.100000
-0.001679,-3.709711,33.200000
-0.001159,-3.774197,33.300000
-0.000630,-3.840303,33.400000
-0.000089,-3.908031,33.500000
0.000464,-3.977385,33.600000
0.001034,-4.048368,33.700000
0.001622,-4.120980,33.800000
0.002232,-4.195222,33.900000
0.002867,-4.271093,34.000000
0.003532,-4.348588,34.100000
0.004230,-4.427704,34.200000
0.004966,-4.508433,34.300000
0.005743,-4.590764,34.400000
0.006568,-4.674686,34.500000
0.007444,-4.760180,34.600000
0.008376,-4.847227,34.700000
0.009370,-4.935803,34.800000
0.010430,-5.025878,34.900000
0.011561,-5.117419,35.000000
0.012768,-5.210384,35.100000
0.014055,-5.304730,35.200000
0.015426,-5.400402,35.300000
0.016885,-5.497344,35.400000
0.018435,-5.595488,35.500000
0.020077,-5.694761,35.600000
0.021814,-5.795081,35.700000
0.023645,-5.896358,35.800000
0.025571,-5.998495,35.900000
0.027590,-6.101385,36.000000
0.029698,-6.204912,36.100000
0.031891,-6.308952,36.200000
0.034163,-6.413372,36.300000
0.036508,-6.518031,36.400000
0.038916,-6.622781,36.500000
0.041379,-6.727463,36.600000
0.043885,-6.831914,36.700000
0.046422,-6.935962,36.800000
0.048978,-7.039430,36.900000
0.051539,-7.142135,37.000000
0.054093,-7.243891,37.100000
0.056624,-7.344504,37.200000
0.059121,-7.443781,37.300000
0.061569,-7.541525,37.400000
0.063957,-7.637538,37.500000
0.066273,-7.731620,37.600000
0.068507,-7.823572,37.700000
0.070648,-7.913196,37.800000
0.072689,-8.000295,37.900000
0.074622,-8.084674,38.000000
0.076442,-8.166141,38.100000
0.078144,-8.244505,38.200000
0.079724,-8.319580,38.300000
0.081179,-8.391185,38.400000
0.082508,-8.459139,38.500000
0.083710,-8.523268,38.600000
0.084783,-8.583402,38.700000
0.085728,-8.639374,38.800000
0.086545,-8.691023,38.900000
0.087235,-8.738193,39.000000
0.087797,-8.780731,39.100000
0.088234,-8.818489,39.200000
0.088544,-8.851325,39.300000
0.088730,-8.879101,39.400000
0.088790,-8.901684,39.500000
0.088725,-8.918947,39.600000
0.088536,-8.930766,39.700000
0.088221,-8.937026,39.800000
0.087779,-8.937615,39.900000
0.087212,-8.932530,40.000000
0.086517,-8.921930,40.100000
0.085695,-8.905989,40.200000
0.084744,-8.884884,40.300000
0.083665,-8.858796,40.400000
0.082457,-8.827912,40.500000
0.081121,-8.792422,40.600000
0.079658,-8.752519,40.700000
0.078070,-8.708401,40.800000
0.076360,-8.660269,40.900000
0.074530,-8.608327,41.000000
0.072586,-8.552781,41.100000
0.070534,-8.493843,41.200000
0.068380,-8.431723,41.300000
0.066133,-8.366635,41.400000
0.063802,-8.298794,41.500000
0.061398,-8.228415,41.600000
0.058931,-8.155712,41.700000
0.056414,-8.080899,41.800000
0.053860,-8.004188,41.900000
0.051282,-7.925790,42.000000
0.048694,-7.845909,42.100000
0.046109,-7.764748,42.200000
0.043539,-7.682504,42.300000
