t,v
44,7.053958629886273
44.1,7.048907498114321
44.2,7.044322095079816
44.3,7.040160753482991
44.40000000000001,7.03638530495282
44.5,7.032960827891777
44.6,7.02985540560071
44.7,7.02703989595854
44.8,7.024487713459475
44.90000000000001,7.022174624032841
45,7.02007855277285
45.1,7.018179404474747
45.2,7.016458896698345
45.3,7.014900404950164
45.40000000000001,7.013488819482816
45.5,7.01221041314768
45.6,7.011052719698299
45.7,7.01000442192223
45.8,7.009055248974113
45.90000000000001,7.008195882289021
46,7.007417869469891
46.1,7.006713545563814
46.2,7.006075961167133
46.3,7.005498816827459
46.40000000000001,7.004976403240502
46.5,7.004503546770189
46.6,7.004075559851262
46.7,7.003688195863805
46.8,7.00333760809855
46.90000000000001,7.003020312460222
47,7.002733153583165
47.1,7.002473274059154
47.2,7.002238086501465
47.3,7.002025248191848
47.40000000000001,7.001832638078247
47.5,7.001658335910709
47.6,7.001500603321171
47.7,7.001357866669646
47.8,7.001228701494876
47.90000000000001,7.001111818421788
48,7.001006050391298
48.1,7.000910341089975
48.2,7.000823734468181
48.3,7.000745365245381
48.40000000000001,7.000674450310549
48.5,7.000610280933999
48.6,7.000552215714706
48.7,7.000499674194128
48.8,7.000452131073954
48.90000000000001,7.000409110980989
49,7.000370183727684
49.1,7.000334960021584
49.2,7.000303087581386
49.3,7.000274247621184
49.40000000000001,7.000248151668143
49.5,7.000224538682078
49.6,7.000203172448358
49.7,7.000183839218296
49.8,7.000166345573556
49.90000000000001,7.000150516493374
50,7.000136193605359
50.1,7.000123233602467
50.2,7.000111506810394
50.3,7.000100895891105
50.40000000000001,7.000091294669585
50.5,7.000082607072109
50.6,7.000074746165454
50.7,7.000067633287444
50.8,7.000061197260173
50.90000000000001,7.000055373678046
51,7.000050104263509
51.1,7.000045336284074
51.2,7.000041022024769
51.3,7.000037118310776
51.40000000000001,7.00003358607548
51.5,7.000030389969588
51.6,7.000027498007451
51.7,7.000024881247024
51.8,7.000022513500263
51.90000000000001,7.000020371071089
52,7.000018432518275
52.1,7.000016678440887
52.2,7.000015091284149
52.3,7.000013655163768
52.40000000000001,7.000012355706983
52.5,7.000011179908732
52.6,7.000010116001512
52.7,7.000009153337606
52.8,7.00000828228254
52.90000000000001,7.000007494118652
53,7.000006780957858
53.1,7.000006135662707
53.2,7.000005551774954
53.3,7.00000502345092
53.40000000000001,7.000004545403018
53.5,7.000004112846831
53.6,7.000003721453227
53.7,7.000003367305037
53.8,7.000003046857856
53.90000000000001,7.000002756904558
54,7.000002494543211
54.1,7.000002257148029
54.2,7.000002042343091
54.3,7.000001847978568
54.40000000000001,7.000001672109202
54.5,7.000001512974839
54.6,7.000001368982812
54.7,7.000001238692008
54.8,7.000001120798433
54.90000000000001,7.000001014122175
55,7.00000091759558
55.1,7.000000830252582
55.2,7.000000751219024
55.3,7.000000679703914
55.40000000000001,7.000000614991502
55.5,7.000000556434131
55.6,7.000000503445735
55.7,7.000000455495992
55.8,7.000000412105002
55.90000000000001,7.000000372838496
56,7.000000337303483
56.1,7.000000305144314
56.2,7.000000276039131
56.3,7.00000024969664
56.40000000000001,7.000000225853197
56.5,7.000000204270167
56.6,7.000000184731542
56.7,7.000000167041772
56.8,7.00000015102381
56.90000000000001,7.000000136517348
57,7.000000123377195
57.1,7.000000111471842
57.2,7.000000100682138
57.3,7.000000090900094
57.40000000000001,7.000000082027809
57.5,7.000000073976486
57.6,7.000000066665543
57.7,7.000000060021812
57.8,7.0000000539788
57.90000000000001,7.000000048476025
58,7.000000043458416
58.1,7.000000038875751
58.2,7.000000034682169
58.3,7.000000030835698
58.40000000000001,7.00000002729784
58.5,7.000000024033188
58.6,7.000000021009069
58.7,7.000000018195215
58.8,7.000000015563465
58.90000000000001,7.00000001308748
59,7.000000010742479
59.1,7.000000008504991
59.2,7.000000006352624
59.3,7.000000004263838
59.40000000000001,7.000000002217724
59.5,7.000000000193808
59.6,6.999999998171829
59.7,6.999999996131555
59.8,6.999999994052563
59.90000000000001,6.999999991914048
60,6.999999989694606
60.1,6.999999987372024
60.2,6.999999984923057
60.3,6.999999982323194
60.40000000000001,6.999999979546417
60.5,6.999999976564934
60.6,6.999999973348904
60.7,6.99999996986614
60.8,6.999999966081788
60.90000000000001,6.99999996195797
61,6.999999957453415
61.1,6.999999952523038
61.2,6.999999947117498
61.3,6.999999941182691
61.40000000000001,6.999999934659221
61.5,6.999999927481797
61.6,6.999999919578588
61.7,6.999999910870494
61.8,6.999999901270363
61.90000000000001,6.999999890682111
62,6.99999987899977
62.1,6.999999866106417
62.2,6.999999851873014
62.3,6.999999836157105
62.40000000000001,6.999999818801401
62.5,6.999999799632201
62.6,6.999999778457655
62.7,6.999999755065836
62.8,6.999999729222635
62.90000000000001,6.999999700669403
63,6.999999669120371
63.1,6.999999634259783
63.2,6.999999595738747
63.3,6.999999553171728
63.40000000000001,6.999999506132702
63.5,6.999999454150887
63.6,6.999999396706031
63.7,6.999999333223209
63.8,6.999999263067061
63.90000000000001,6.999999185535445
64,6.999999099852393
64.10000000000001,6.999999005160366
64.2,6.999998900511654
64.3,6.999998784858898
64.40000000000001,6.999998657044605
64.5,6.999998515789571
64.60000000000001,6.999998359680069
64.7,6.999998187153703
64.8,6.999997996483775
64.90000000000001,6.999997785761997
65,6.999997552879401
65.10000000000001,6.999997295505222
65.2,6.999997011063575
65.3,6.999996696707684
65.40000000000001,6.999996349291373
65.5,6.999995965337594
65.60000000000001,6.999995541003619
65.7,6.999995072042584
65.8,6.999994553760986
65.90000000000001,6.99999398097171
66,6.999993347942111
66.10000000000001,6.999992648336649
66.2,6.99999187515347
66.3,6.999991020654348
66.40000000000001,6.999990076287219
66.5,6.999989032600608
66.60000000000001,6.99998787914903
66.7,6.999986604388455
66.8,6.999985195560773
66.90000000000001,6.999983638566112
67,6.99998191782173
67.10000000000001,6.999980016106062
67.2,6.999977914386371
67.3,6.999975591628272
67.40000000000001,6.999973024585228
67.5,6.999970187565905
67.60000000000001,6.99996705217707
67.7,6.999963587039437
67.8,6.999959757473649
67.90000000000001,6.999955525153228
68,6.999950847721045
68.10000000000001,6.999945678365428
68.2,6.999939965351746
68.3,6.9999336515047
68.40000000000001,6.999926673636191
68.5,6.999918961913033
68.60000000000001,6.999910439158195
68.7,6.999901020078555
68.8,6.999890610411486
68.90000000000001,6.99987910598171
69,6.999866391659004
69.10000000000001,6.999852340206336
69.2,6.99983681100693
69.3,6.999819648657516
69.40000000000001,6.999800681413737
69.5,6.999779719472158
69.60000000000001,6.999756553071745
69.7,6.999730950395829
69.8,6.999702655253639
69.90000000000001,6.999671384518228
70,6.999636825295276
70.10000000000001,6.999598631794492
70.2,6.999556421872441
70.3,6.999509773212341
70.40000000000001,6.99945821910275
70.5,6.999401243773157
70.60000000000001,6.999338277240007
70.7,6.999268689611935
70.8,6.999191784797591
70.90000000000001,6.999106793553556
71,6.999012865803399
71.10000000000001,6.998909062151648
71.2,6.99879434450869
71.3,6.998667565733793
71.40000000000001,6.998527458193922
71.5,6.998372621125418
71.60000000000001,6.998201506674032
71.7,6.998012404475922
71.8,6.997803424628246
71.90000000000001,6.997572478882431
72,6.997317259876223
72.10000000000001,6.997035218201945
72.2,6.996723537087898
72.3,6.996379104447392
72.40000000000001,6.995998482025226
72.5,6.995577871344598
72.60000000000001,6.995113076127872
72.7,6.994599460832603
72.8,6.994031904909093
72.90000000000001,6.993404752347645
73,6.992711756042311
73.10000000000001,6.99194601645287
73.2,6.991099913998371
73.3,6.990165034563034
73.40000000000001,6.989132087439015
73.5,6.987990814970229
73.60000000000001,6.986729893096924
73.7,6.985336821932468
73.8,6.983797805431606
73.90000000000001,6.9820976191339
74,6.980219464887575
74.10000000000001,6.978144811378264
74.2,6.975853219205352
74.3,6.973322149166992
74.40000000000001,6.970526752335415
74.5,6.967439640429242
74.60000000000001,6.964030634922135
74.7,6.960266493271392
74.8,6.956110610610697
74.90000000000001,6.951522695234486
75,6.946458416214631
75.10000000000001,6.940869021542682
75.2,6.934700925293916
75.3,6.927895262476303
75.40000000000001,6.920387410474481
75.5,6.912106476344889
75.60000000000001,6.902974749686042
