time,u,tank1,tank2
89.60000000000001,8.5,18.252862956501595,14.026679121206785
89.7,8.5,18.261890828188136,14.15991590273201
89.80000000000001,8.5,18.274832885208504,14.209461238575559
89.9,8.5,18.33715526346482,14.055355870193276
90.0,8.5,18.41784017323601,13.96929547930364
90.10000000000001,8.5,18.48618344304539,14.186502057055709
90.2,8.408333333333333,18.473257687250893,14.123497957155738
90.30000000000001,8.316666666666666,18.458866165788372,14.272598559004477
90.4,8.225,18.396004790704318,14.059664151737197
90.5,8.133333333333333,18.41096904001477,14.191351610992058
90.60000000000001,8.041666666666666,18.464458430267143,14.134886267877041
90.7,7.95,18.465179039283104,14.161813900142057
90.80000000000001,7.858333333333333,18.446277086432257,14.190997108544625
90.9,7.766666666666667,18.51592789159324,14.125169483840057
91.0,7.675,18.465148518949594,14.234880295716234
91.10000000000001,7.583333333333333,18.49419053219391,14.34277199408099
91.2,7.491666666666667,18.476235197788537,14.248703099043272
91.30000000000001,7.4,18.459973380762165,14.223307664919949
91.4,7.308333333333334,18.473096190935774,14.300128767709511
91.5,7.216666666666667,18.41088131685084,14.338280367954122
91.60000000000001,7.125,18.426085973568,14.40997714921844
91.7,7.033333333333333,18.46049484353694,14.417468345846885
91.80000000000001,6.941666666666666,18.387025470659818,14.372329221923547
91.9,6.85,18.39804503737385,14.384298696076423
92.0,6.758333333333334,18.38297284768711,14.369579738301615
92.10000000000001,6.666666666666667,18.291103482777228,14.335351479999682
92.2,6.575,18.33362067742379,14.44722785102935
92.30000000000001,6.483333333333333,18.291921337475785,14.584679709716253
92.4,6.391666666666667,18.21890529622126,14.424923363049594
92.5,6.300000000000001,18.201338561494698,14.499705906457457
92.60000000000001,6.208333333333334,18.166051330858945,14.441249859381747
92.7,6.116666666666667,18.191269282125045,14.419512434841028
92.80000000000001,6.025,18.12396713969134,14.4497690074691
92.9,5.933333333333334,18.118110130366745,14.39392548223658
93.0,5.841666666666667,18.106347187993528,14.382744507236797
93.10000000000001,5.75,18.04446327448038,14.627795691902685
93.2,5.658333333333333,18.011866206931522,14.555975949927955
93.30000000000001,5.566666666666666,17.951819889294008,14.68262845530417
93.4,5.475,17.852811435810718,14.346327006599887
93.5,5.383333333333334,17.815994221952614,14.518403915673392
93.60000000000001,5.291666666666667,17.73520868566493,14.72616669911654
93.7,5.2,17.71475279198132,14.68840571352757
93.80000000000001,5.108333333333333,17.66880624172209,14.674363939991972
93.9,5.0166666666666675,17.59421083582922,14.6499724579511
94.0,4.925000000000001,17.54730192266051,14.82301647971855
94.10000000000001,4.833333333333334,17.501103530192,14.456041352630855
94.2,4.741666666666667,17.39765959741352,14.482522543152248
94.30000000000001,4.65,17.340023091332576,14.770333631211686
94.4,4.558333333333334,17.261080666691928,14.771924310868224
94.5,4.466666666666667,17.222140233196164,14.753345901873669
94.60000000000001,4.375,17.159735075960302,14.621832880693546
94.7,4.283333333333333,17.059849466043456,14.553758623146667
94.80000000000001,4.191666666666667,16.98436623738594,14.566784413651845
94.9,4.1000000000000005,16.946712138074854,14.80166719109596
95.0,4.008333333333334,16.84644548013883,14.850670699447042
95.10000000000001,3.916666666666667,16.732480719207857,14.658024011449472
95.2,3.825,16.70927178139684,14.883520278775727
95.30000000000001,3.7333333333333334,16.604791732047524,14.727749186946063
95.4,3.6416666666666666,16.498845141356075,14.832768561432758
95.5,3.5500000000000007,16.42110808065172,14.795141320096159
95.60000000000001,3.458333333333334,16.353860995922467,14.790734239610437
95.7,3.366666666666667,16.24258991124803,14.789095425761472
95.80000000000001,3.2750000000000004,16.162872887957036,14.73097626355885
95.9,3.1833333333333336,16.05654969970813,14.671024276764914
96.0,3.091666666666667,15.978672597701003,14.687070409158117
96.10000000000001,3.0,15.815523847248615,14.760132025705085
96.2,3.0,15.745270508677129,14.748960831008985
96.30000000000001,3.0,15.623296561557584,14.88858110350263
96.4,3.0,15.501259743342287,14.806310773718877
96.5,3.0,15.379199545925548,14.708623073720148
96.60000000000001,3.0,15.295470490760536,14.672296994323638
96.7,3.0,15.187655391161492,14.792978230083213
96.80000000000001,3.0,15.070883672024166,14.732420120442312
96.9,3.0,14.998706145677877,14.700316065388659
97.0,3.0,14.8760166714461,14.630868120024493
97.10000000000001,3.0,14.753713777822227,14.700892845982032
97.2,3.0,14.660309514810093,14.803611863363221
97.30000000000001,3.0,14.539311640221415,14.74595929483915
97.4,3.0,14.43680770166332,14.820370241330187
97.5,3.0,14.350765864153027,14.704266258448728
97.60000000000001,3.0,14.242090734938152,14.699431749080743
97.7,3.0,14.144169123805488,14.774313663878575
97.80000000000001,3.0,14.059831267347871,14.802159200034549
97.9,3.0,13.951789779328463,14.802928862513408
98.0,3.0,13.844518834558688,14.75529027362992
98.10000000000001,3.0,13.737534423459634,14.833425011545097
98.2,3.0,13.659411439588629,14.737875673135425
98.30000000000001,3.0,13.553681009717007,14.731099640393884
98.4,3.0,13.428099535391642,14.64231527856915
98.5,3.0,13.31430618365382,14.599715029236084
98.60000000000001,3.0,13.271991067932218,14.689308279558203
98.7,3.0,13.141236290694046,14.569265018492066
98.80000000000001,3.0,13.063859034199703,14.428776225821753
98.9,3.0,12.996745746010857,14.702422768429246
99.0,3.0,12.895109373830085,14.660406394153906
